Time	USDT_ETH / Free Float Supply (native units)
20181123	25109502.1
20181124	25109502.1
20181125	25109502.1
20181126	25109502.1
20181127	25109502.1
20181128	25109502.1
20181129	25109502.1
20181130	25109502.1
20181201	25109502.1
20181202	25109502.1
20181203	25109502.1
20181204	25109502.1
20181205	25109502.1
20181206	25109502.1
20181207	25109502.1
20181208	25109502.1
20181209	25109502.1
20181210	25109502.1
20181211	25109502.1
20181212	25109502.1
20181213	25109502.1
20181214	25109502.1
20181215	25109502.1
20181216	25109502.1
20181217	25109502.1
20181218	25109502.1
20181219	25109502.1
20181220	25109502.1
20181221	25109502.1
20181222	25109502.1
20181223	25109502.1
20181224	25109502.1
20181225	25109502.1
20181226	25109502.1
20181227	25109502.1
20181228	25104324.04
20181229	25104324.04
20181230	25104324.04
20181231	25104324.04
20190101	25104324.04
20190102	25104324.04
20190103	25104324.04
20190104	25104324.04
20190105	25104324.04
20190106	25104324.04
20190107	25104324.04
20190108	25104324.04
20190109	25104324.04
20190110	25104324.04
20190111	25104324.04
20190112	25104324.04
20190113	25104324.04
20190114	25104324.04
20190115	25104324.04
20190116	25104324.04
20190117	25104324.04
20190118	25104324.04
20190119	25104324.04
20190120	25104324.04
20190121	25099574.04
20190122	25099574.04
20190123	25099574.04
20190124	25099574.04
20190125	25099574.04
20190126	25099574.04
20190127	25099574.04
20190128	25099574.04
20190129	25099574.04
20190130	25104324.04
20190131	25104324.04
20190201	25104324.04
20190202	25104324.04
20190203	25104324.04
20190204	25104324.04
20190205	25104324.04
20190206	25104324.04
20190207	25104324.04
20190208	25104324.04
20190209	25104324.04
20190210	25104324.04
20190211	25104324.04
20190212	25104324.04
20190213	25104324.04
20190214	25104324.04
20190215	25104324.04
20190216	25104324.04
20190217	25104324.04
20190218	25104324.04
20190219	25104324.04
20190220	25104324.04
20190221	25104324.04
20190222	55104324.04
20190223	55104324.04
20190224	55104324.04
20190225	55104324.04
20190226	55104324.04
20190227	55104324.04
20190228	55104324.04
20190301	55104324.04
20190302	57103124.04
20190303	56303124.04
20190304	56303124.04
20190305	56303124.04
20190306	56303124.04
20190307	56303124.04
20190308	56303124.04
20190309	56303124.04
20190310	56303124.04
20190311	58401024.04
20190312	58401024.04
20190313	58401024.04
20190314	58401024.04
20190315	58401024.04
20190316	58401024.04
20190317	58401024.04
20190318	58401024.04
20190319	58401024.04
20190320	58401024.04
20190321	58401024.04
20190322	58401024.04
20190323	58401024.04
20190324	58401024.04
20190325	58401024.04
20190326	58401024.04
20190327	58401024.04
20190328	58401024.04
20190329	58401024.04
20190330	58401024.04
20190331	60001024.04
20190401	60001024.04
20190402	60001024.04
20190403	60001024.04
20190404	60001024.04
20190405	60001024.04
20190406	60001024.04
20190407	60001024.04
20190408	80001024.04
20190409	87501024.04
20190410	129491024
20190411	139481024
20190412	159970524
20190413	154970524
20190414	154970524
20190415	175661822
20190416	183264212
20190417	188598872
20190418	194592872
20190419	202449287.8
20190420	196449287.8
20190421	211434287.8
20190422	211434287.8
20190423	226419287.8
20190424	265474431.1
20190425	318840379.8
20190426	273432272.5
20190427	273432272.5
20190428	273432272.5
20190429	273432272.5
20190430	273432272.5
20190501	273432272.5
20190502	273432272.5
20190503	273432272.5
20190504	273432272.5
20190505	273432272.5
20190506	273432272.5
20190507	273432272.5
20190508	273432272.5
20190509	273432272.5
20190510	273432272.5
20190511	273432272.5
20190512	273432272.5
20190513	285120572.5
20190514	292346439.4
20190515	301006125.1
20190516	309317672.8
20190517	310048116.7
20190518	310048116.7
20190519	310048116.7
20190520	335133295.5
20190521	364850536.7
20190522	382142802.2
20190523	398906671.6
20190524	439682678.1
20190525	457664678.1
20190526	466655678.1
20190527	487909403.1
20190528	498994079.1
20190529	520536215.4
20190530	523730717.7
20190531	534088884.1
20190601	535534387.2
20190602	535534387.2
20190603	546608077.4
20190604	555892333.9
20190605	578772006.3
20190606	598194754.1
20190607	604139104.1
20190608	604139104.1
20190609	606137104.1
20190610	648875612
20190611	686884139.1
20190612	723480901.8
20190613	750438278
20190614	768376769.9
20190615	776368769.9
20190616	800344769.9
20190617	845362587.5
20190618	851957487.5
20190619	855840601.5
20190620	872877951.5
20190621	892235981.5
20190622	895232981.5
20190623	908232981.5
20190624	912682981.5
20190625	933442941.5
20190626	935953223.6
20190627	939069708.3
20190628	953784760.1
20190629	980784760.1
20190630	980784760.1
20190701	1014984560
20190702	1026798506
20190703	1079861704
20190704	1116896654
20190705	1161094247
20190706	1176587247
20190707	1186577247
20190708	1254318097
20190709	1300780750
20190710	1302074472
20190711	1332057121
20190712	1357769536
20190713	1357769536
20190714	1362769536
20190715	1382639229
20190716	1394773938
20190717	1408557968
20190718	1421063708
20190719	1436771670
20190720	1437921670
20190721	1437921670
20190722	1439643347
20190723	1435426847
20190724	1434723347
20190725	1435497347
20190726	1425498247
20190727	1428495247
20190728	1428495247
20190729	1428495247
20190730	1423747104
20190731	1423695704
20190801	1423695704
20190802	1423695704
20190803	1423695704
20190804	1429690704
20190805	1517364701
20190806	1517364701
20190807	1521214701
20190808	1520395201
20190809	1520897793
20190810	1520897793
20190811	1520897793
20190812	1520228793
20190813	1520228793
20190814	1520228793
20190815	1520832298
20190816	1521281178
20190817	1521281178
20190818	1521281178
20190819	1521580858
20190820	1521580858
20190821	1521580858
20190822	1521782849
20190823	1526780849
20190824	1526780849
20190825	1528778849
20190826	1533778849
20190827	1533118849
20190828	1539147963
20190829	1541732356
20190830	1542089273
20190831	1541332673
20190901	1540132673
20190902	1550130673
20190903	1561079630
20190904	1568859545
20190905	1573854545
20190906	1602658513
20190907	1604656513
20190908	1604656513
20190909	1609656513
20190910	1621656523
20190911	1621033423
20190912	1925307433
20190913	1938509922
20190914	1941007422
20190915	1941007422
20190916	1941007422
20190917	1941007422
20190918	1939362222
20190919	1944357222
20190920	1944357222
20190921	1944357222
20190922	1944781676
20190923	1944781676
20190924	1955009591
20190925	1959764012
20190926	1958974245
20190927	1961846032
20190928	1963844032
20190929	1963844032
20190930	1971099868
20191001	1983284968
20191002	1983284968
20191003	1983284968
20191004	1983867462
20191005	1983867462
20191006	1983867462
20191007	1994359462
20191008	1994659162
20191009	1994659162
20191010	2009146662
20191011	1996807829
20191012	1996807829
20191013	1996807829
20191014	1994807829
20191015	1996356258
20191016	1996476093
20191017	1997176093
20191018	1977176093
20191019	1977176093
20191020	1982171093
20191021	1964069188
20191022	1947810438
20191023	1917810438
20191024	1823374925
20191025	1681621072
20191026	1625806072
20191027	1582806072
20191028	1583580760
20191029	1917686967
20191030	1918903870
20191031	1897120670
20191101	1905419303
20191102	1905469353
20191103	1899469353
20191104	1902353193
20191105	1906454672
20191106	1907489672
20191107	1909054672
20191108	1910384859
20191109	1910384859
20191110	1910384859
20191111	1910384859
20191112	1910559859
20191113	1910742676
20191114	1910798781
20191115	1910938641
20191116	1910938641
20191117	1911109641
20191118	1911582841
20191119	1912582841
20191120	1914690841
20191121	1932174841
20191122	1933174841
20191123	1903174841
20191124	1908169841
20191125	1937501171
20191126	1937501171
20191127	1946725180
20191128	1951623130
20191129	1953615134
20191130	1953610134
20191201	1953610134
20191202	1956928451
20191203	1956947108
20191204	1967722295
20191205	1967723554
20191206	1972217556
20191207	1981567556
20191208	1981667556
20191209	1995415640
20191210	2209116196
20191211	2193927098
20191212	2200108346
20191213	2200264142
20191214	2200264142
20191215	2200264142
20191216	2212480610
20191217	2219841628
20191218	2235642147
20191219	2248698541
20191220	2262257712
20191221	2255557712
20191222	2255557712
20191223	2269666512
20191224	2273483162
20191225	2276547029
20191226	2276547029
20191227	2281753267
20191228	2277323534
20191229	2278719978
20191230	2282284043
20191231	2282284043
20200101	2284428043
20200102	2284478043
20200103	2276577658
20200104	2220744640
20200105	2221744640
20200106	2225372606
20200107	2210841738
20200108	2210841738
20200109	2210841738
20200110	2210920469
20200111	2210920469
20200112	2211460469
20200113	2211560369
20200114	2217803226
20200115	2217803226
20200116	2221986563
20200117	2221986563
20200118	2221986563
20200119	2221986563
20200120	2160614563
20200121	2159614563
20200122	2160685154
20200123	2117680415
20200124	2117680415
20200125	2115680415
20200126	2117180415
20200127	2117180415
20200128	2117277915
20200129	2125777915
20200130	2131284740
20200131	2133791933
20200201	2138047598
20200202	2138170997
20200203	2140170997
20200204	2141443298
20200205	2141423698
20200206	2165923698
20200207	2175326198
20200208	2176326198
20200209	2190326198
20200210	2174222808
20200211	2194219312
20200212	2229278771
20200213	2256261258
20200214	2266899258
20200215	2262019258
20200216	2266019258
20200217	2279524066
20200218	2298154818
20200219	2321531541
20200220	2632175541
20200221	2647921443
20200222	2627921443
20200223	2644401443
20200224	2663221321
20200225	2669221321
20200226	2670321321
20200227	2663886321
20200228	2684934772
20200229	2686934772
20200301	2687534772
20200302	2699214102
20200303	2713686017
20200304	2717103917
20200305	2928203618
20200306	2946846083
20200307	2959846083
20200308	2977846083
20200309	3023074443
20200310	3027244248
20200311	3084154147
20200312	3163123055
20200313	3143826391
20200314	3167774188
20200315	3161767188
20200316	3265368021
20200317	3368698136
20200318	3455869081
20200319	3589120220
20200320	3652495467
20200321	3652495467
20200322	3655495467
20200323	3689803313
20200324	3819890667
20200325	3929993817
20200326	3998293020
20200327	4071136925
20200328	4095524525
20200329	4096394525
20200330	4191147974
20200331	4233387487
20200401	4342839187
20200402	4424042182
20200403	4436494470
20200404	4446494470
20200405	4448494470
20200406	4503301773
20200407	4523745756
20200408	4526866934
20200409	4538840656
20200410	4554006428
20200411	4579006428
20200412	4611006428
20200413	4673340130
20200414	4801448034
20200415	4852334817
20200416	4897631720
20200417	4965977123
20200418	4966977123
20200419	4978977123
20200420	5036324880
20200421	5126947038
20200422	5215721939
20200423	5299772632
20200424	5289559844
20200425	5289559844
20200426	5301559844
20200427	5454513195
20200428	5489090743
20200429	5582129830
20200430	5478775739
20200501	5479757157
20200502	5479757157
20200503	5479757157
20200504	5490458742
20200505	5511782581
20200506	5552186775
20200507	5607231356
20200508	5644855290
20200509	5643928349
20200510	5631428349
20200511	5626325442
20200512	5605750442
20200513	5606750442
20200514	5606871675
20200515	5607502408
20200516	5607618355
20200517	5607618355
20200518	5605318355
20200519	5605435370
20200520	5603435370
20200521	5602541677
20200522	5594946211
20200523	5593946211
20200524	5593946211
20200525	5593946211
20200526	5593946211
20200527	5594954236
20200528	5612088707
20200529	5613235489
20200530	5613235489
20200531	5613235489
20200601	5614735489
20200602	5624994809
20200603	5627217168
20200604	5627378211
20200605	5627478211
20200606	5627478211
20200607	5627478211
20200608	5633090104
20200609	5629732709
20200610	5635691616
20200611	5636022713
20200612	5636022713
20200613	5636022713
20200614	5636022713
20200615	5636657612
20200616	5617984318
20200617	5617385827
20200618	5644735578
20200619	5668235578
20200620	5668235578
20200621	5668381705
20200622	5627881705
20200623	5598138805
20200624	5595138805
20200625	5596257302
20200626	5596257302
20200627	5597055842
20200628	5597055842
20200629	5898555842
20200630	5898555842
20200701	5898921660
20200702	5892421660
20200703	5893604205
20200704	5893604205
20200705	5893604205
20200706	5894255641
20200707	5894255641
20200708	5893220641
20200709	5883220641
20200710	5883220641
20200711	5883470641
20200712	5883470641
20200713	5858470641
20200714	5933828173
20200715	5936828173
20200716	5936828173
20200717	5937428173
20200718	5937428173
20200719	5937428173
20200720	5997428173
20200721	6027428173
20200722	6128428173
20200723	6128428173
20200724	6132089202
20200725	6156089202
20200726	6156089202
20200727	6238188826
20200728	6344434901
20200729	6344684901
20200730	6348254901
20200731	6389190248
20200801	6477190248
20200802	6477190248
20200803	6485690248
20200804	6550690248
20200805	6551690248
20200806	6662377781
20200807	6705996774
20200808	6723645126
20200809	6724945126
20200810	7134946401
20200811	7259643703
20200812	7252650696
20200813	7352750681
20200814	7391468325
20200815	7391568325
20200816	7393568325
20200817	7413637855
20200818	7417637855
20200819	7472637855
20200820	8472637855
20200821	8582130862
20200822	8582130862
20200823	8582130862
20200824	8584130862
20200825	8582130862
20200826	8575130862
20200827	8585130862
20200828	8615130862
20200829	8615136033
20200830	8614736033
20200831	8616335414
20200901	8691485414
20200902	8700153798
20200903	8736314596
20200904	8853455240
20200905	8853444378
20200906	8853444378
20200907	8844543778
20200908	8869528518
20200909	8873093113
20200910	8870192516
20200911	8871630317
20200912	8876630317
20200913	8876630317
20200914	8877265569
20200915	9877265569
20200916	9877265569
20200917	9973921688
20200918	10030120489
20200919	10030120489
20200920	10076120489
20200921	10143303155
20200922	10135516819
20200923	10136002376
20200924	10136002376
20200925	10131501843
20200926	10131501843
20200927	10126501843
20200928	10131601843
20200929	10157442499
20200930	10157439999
20201001	10234549981
20201002	10234682747
20201003	10304682747
20201004	10304682747
20201005	10294682747
20201006	10299979986
20201007	10300229986
20201008	10300685538
20201009	10305680543
20201010	10305680543
20201011	10305680543
20201012	10305680543
20201013	10318013411
20201014	10303013353
20201015	10304425662
20201016	10299425662
20201017	10299425662
20201018	10302925662
20201019	10303650172
20201020	10303650172
20201021	10310436386
20201022	10379933888
20201023	10393033888
20201024	10393033888
20201025	10393457356
20201026	10518457356
20201027	10605457356
20201028	10708457355
20201029	10718757355
20201030	10808007356
20201031	10808298888
20201101	10808298888
20201102	10908298888
20201103	11018298888
20201104	11018823363
20201105	11075238971
20201106	11138636758
20201107	11143636758
20201108	11143636758
20201109	11189136758
20201110	11189905989
20201111	11299405989
20201112	11316395499
20201113	11321440454
20201114	11321140255
20201115	11321140255
20201116	11442439056
20201117	11450790654
20201118	11505390055
20201119	11515390055
20201120	11624390055
20201121	11627390055
20201122	11637390055
20201123	11764480065
20201124	11921666889
20201125	12023751989
20201126	12018751989
20201127	12021383857
20201128	12021383857
20201129	12021383857
20201130	12181383857
20201201	12247633856
20201202	12257850140
20201203	12364645345
20201204	12385345145
20201205	12385507543
20201206	12385507543
20201207	12386292353
20201208	12386292353
20201209	12365292353
20201210	12370292353
20201211	12358292353
20201212	12358292353
20201213	12358292353
20201214	12364292353
20201215	12484292353
20201216	12502284461
20201217	12519550435
20201218	12541050435
20201219	12601050435
20201220	12606050435
20201221	12617978307
20201222	12636178107
20201223	12766178107
20201224	12897178107
20201225	12927178107
20201226	12966178107
20201227	13032878107
20201228	13052878107
20201229	13193070649
20201230	13204570649
20201231	13212270649
20210101	13382270649
20210102	13392770649
20210103	13471270649
20210104	13508770649
20210105	13574037160
20210106	13777144211
20210107	13983356608
20210108	14055462193
20210109	14097946708
20210110	14107946708
20210111	14258446708
20210112	14461952941
20210113	14527358182
20210114	14512266855
20210115	14554266855
20210116	14559266855
20210117	14551266855
20210118	14521266855
20210119	14545280106
20210120	14568780106
20210121	14466129756
20210122	14458529488
20210123	14458529488
20210124	14458529488
20210125	14619529488
20210126	14758820921
20210127	14868820921
20210128	14811058263
20210129	15165890359
20210130	15417390359
20210131	15417390359
20210201	15440990359
20210202	15613170679
20210203	17933364685
20210204	18175464685
20210205	18506317932
20210206	18506580927
20210207	18803080927
20210208	18903819631
20210209	19038313391
20210210	19063453551
20210211	19073428645
20210212	19176946471
20210213	19176946471
20210214	19176946471
20210215	19226946471
20210216	19347353187
20210217	19518088229
20210218	19587001016
20210219	19692359168
20210220	19777559168
20210221	19797559168
20210222	19812679168
20210223	19841679168
20210224	19905379168
20210225	19909511256
20210226	19899148482
20210227	19899148482
20210228	19901148482
20210301	19977202217
20210302	20027170697
20210303	20056720697
20210304	20057720697
20210305	20123951697
20210306	20125951697
20210307	20130451697
20210308	20230851270
20210309	20301198748
20210310	20491546400
20210311	20598503443
